SealID;Segment;d13C;d15N;Nubbin;WhiskerRow;WhiskerColumn;LengthRecovery;DistanceFromTip;DeploymentDate;RecoveryDate;X;Linf;k;DateWhenSegmentGrew;DeploymentDuration;SealDate;SevenDayAvg_d13C;SevenDayAvg_d15N;Lat;Lon;DaysSinceDeployment;Lon360;FiveDayDriftRate;ReprState
3373;7;-17.33;12.63;yes;3;2;8.5;5.05;6/8/2014;2/4/2015;;9.83;0.00829983399139176;9/2/2014;241;3373-2014-09-02;-17.29;12.695;427.839.446.606.242;-169.511.020.668.674;868.690.130.915.272;-169.511.020.668.674;-0.167233333333333;Pregnant
3373;8;-17.25;12.76;yes;3;2;8.5;4.81;6/8/2014;2/4/2015;;9.83;0.00829983399139176;8/27/2014;241;3373-2014-08-27;-17.25;12.76;434.552.653.224.753;-171.745.751.507.416;809.665.592.290.654;-171.745.751.507.416;-0.150166666666667;Pregnant
3373;9;-17.35;12.8;yes;3;2;8.5;4.44;6/8/2014;2/4/2015;;9.83;0.00829983399139176;8/19/2014;241;3373-2014-08-19;-17.35;12.8;423.949.645.541.929;-173.943.779.739.777;723.982.612.015.362;-173.943.779.739.777;-0.186970238095238;Pregnant
3373;18;-17.73;13.42;yes;3;2;8.5;1.11;6/8/2014;2/4/2015;;9.83;0.00829983399139176;6/22/2014;241;3373-2014-06-22;-17.91;13.66;384.350.955.699.901;-126.869.515.810.719;144.363.967.234.117;-126.869.515.810.719;-0.178666666666667;Pregnant
3373;11;-17.54;12.96;yes;3;2;8.5;3.7;6/8/2014;2/4/2015;;9.83;0.00829983399139176;8/3/2014;241;3373-2014-08-03;-17.54;12.96;446.253.011.446.437;-165.832.899.403.494;568.980.276.835.351;-165.832.899.403.494;-0.268208333333333;Pregnant
3373;12;-17.31;13.27;yes;3;2;8.5;3.33;6/8/2014;2/4/2015;;9.83;0.00829983399139176;7/27/2014;241;3373-2014-07-27;-17.335;13.29;459.902.986.389.301;-16.065.566.582.949;49.836.750.673.144;-16.065.566.582.949;-0.153333333333333;Pregnant
3373;13;-17.36;13.31;yes;3;2;8.5;2.96;6/8/2014;2/4/2015;;9.83;0.00829983399139176;7/21/2014;241;3373-2014-07-21;-17.36;13.31;460.990.833.271.369;-154.440.442.707.901;431.665.052.935.288;-154.440.442.707.901;-0.27455;Pregnant
3373;14;-17.28;13.32;yes;3;2;8.5;2.59;6/8/2014;2/4/2015;;9.83;0.00829983399139176;7/14/2014;241;3373-2014-07-14;-17.4;13.26;463.129.025.336.789;-147.338.019.798.354;368.462.463.319.909;-147.338.019.798.354;-0.33;Pregnant
3373;16;-17.53;13.29;yes;3;2;8.5;2;6/8/2014;2/4/2015;;9.83;0.00829983399139176;7/5/2014;241;3373-2014-07-05;-17.525;13.215;443.170.777.898.037;-139.129.302.436.567;274.073.462.664.777;-139.129.302.436.567;-0.221;Pregnant
3960;16;-17.7;14.18;yes;3;2;9;1.7;6/4/2015;2/2/2016;;9.83;0.0101718868821011;6/22/2015;243;3960-2015-06-22;-17.7;14.285;425.700.127.539.108;-131.882.621.332.657;186.669.408.341;-131.882.621.332.657;-0.213714285714286;Pregnant
3960;4;-17.68;13.32;yes;3;2;9;6.7;6/4/2015;2/2/2016;;9.83;0.0101718868821011;9/24/2015;243;3960-2015-09-24;-17.68;13.32;458.215.473.371.624;-165.761.686.226.664;112.506.749.521.643;-165.761.686.226.664;-0.0648;Pregnant
3960;5;-17.51;13.56;yes;3;2;9;6.3;6/4/2015;2/2/2016;;9.83;0.0101718868821011;9/12/2015;243;3960-2015-09-12;-17.51;13.56;444.307.473.729.425;-166.375.923.906.298;100.683.489.217.325;-166.375.923.906.298;-0.189234126984127;Pregnant
3960;17;-17.7;14.39;yes;3;2;9;1.5;6/4/2015;2/2/2016;;9.83;0.0101718868821011;6/20/2015;243;3960-2015-06-20;-17.7;14.39;415.762.031.184.076;-130.147.152.291.522;162.777.545.503.058;-130.147.152.291.522;-0.22;Pregnant
3960;18;-17.99;14.82;yes;3;2;9;0.9;6/4/2015;2/2/2016;;9.83;0.0101718868821011;6/13/2015;243;3960-2015-06-13;-17.99;14.82;377.917.748.011.622;-124.918.088.270.976;943.999.283.354.315;-124.918.088.270.976;-0.0185;Pregnant
3960;14;-17.51;13.81;yes;3;2;9;2.7;6/4/2015;2/2/2016;;9.83;0.0101718868821011;7/5/2015;243;3960-2015-07-05;-17.57;13.82;452.805.826.977.915;-144.095.848.433.039;31.570.121.006.549;-144.095.848.433.039;-0.337154761904762;Pregnant
3960;15;-17.63;13.83;yes;3;2;9;2.3;6/4/2015;2/2/2016;;9.83;0.0101718868821011;6/30/2015;243;3960-2015-06-30;-17.63;13.83;451.385.296.455.506;-13.939.739.282.132;262.039.772.400.812;-13.939.739.282.132;-0.291333333333333;Pregnant
3960;1;-17.38;14.26;yes;3;2;9;7.9;6/4/2015;2/2/2016;;9.83;0.0101718868821011;11/11/2015;243;3960-2015-11-11;-17.38;14.26;460.547.289.742.053;-156.369.667.183.489;160.040.998.303.554;-156.369.667.183.489;0.096;Pregnant
3960;2;-17.61;13.66;yes;3;2;9;7.5;6/4/2015;2/2/2016;;9.83;0.0101718868821011;10/23/2015;243;3960-2015-10-23;-17.61;13.66;462.933.442.937.987;-162.173.685.111.407;141.524.447.063.464;-162.173.685.111.407;0.0418833333333333;Pregnant
3960;3;-17.7;13.4;yes;3;2;9;7.1;6/4/2015;2/2/2016;;9.83;0.0101718868821011;10/7/2015;243;3960-2015-10-07;-17.7;13.4;467.201.394.653.481;-164.142.614.629.391;125.948.837.203.113;-164.142.614.629.391;-0.09675;Pregnant
3960;8;-17.32;13.72;yes;3;2;9;5.1;6/4/2015;2/2/2016;;9.83;0.0101718868821011;8/14/2015;243;3960-2015-08-14;-17.32;13.72;430.409.120.288.291;-169.265.637.621.715;71.915.244.451.099;-169.265.637.621.715;-0.2774;Pregnant
3960;9;-17.32;13.69;yes;3;2;9;4.7;6/4/2015;2/2/2016;;9.83;0.0101718868821011;8/6/2015;243;3960-2015-08-06;-17.32;13.69;435.427.137.917.953;-169.252.800.935.086;639.343.793.844.928;-169.252.800.935.086;-0.284342857142857;Pregnant
3960;6;-17.32;13.71;yes;3;2;9;5.9;6/4/2015;2/2/2016;;9.83;0.0101718868821011;9/2/2015;243;3960-2015-09-02;-17.32;13.71;444.409.924.827.373;-166.586.891.947.874;901.307.219.500.371;-166.586.891.947.874;-0.243310714285714;Pregnant
3960;7;-17.33;13.68;yes;3;2;9;5.5;6/4/2015;2/2/2016;;9.83;0.0101718868821011;8/23/2015;243;3960-2015-08-23;-17.33;13.68;441.701.428.895.097;-167.984.539.488.576;806.017.016.948.318;-167.984.539.488.576;-0.263521428571429;Pregnant
3960;12;-17.4;13.73;yes;3;2;9;3.5;6/4/2015;2/2/2016;;9.83;0.0101718868821011;7/17/2015;243;3960-2015-07-17;-17.415;13.74;448.249.525.131.931;-15.548.946.981.365;432.701.133.137.334;-15.548.946.981.365;-0.334760989010989;Pregnant
3960;13;-17.43;13.75;yes;3;2;9;3.1;6/4/2015;2/2/2016;;9.83;0.0101718868821011;7/11/2015;243;3960-2015-07-11;-17.47;13.78;456.170.519.734.084;-149.785.786.516.108;37.246.166.310.509;-149.785.786.516.108;-0.259964285714286;Pregnant
3960;10;-17.32;13.79;yes;3;2;9;4.3;6/4/2015;2/2/2016;;9.83;0.0101718868821011;7/30/2015;243;3960-2015-07-30;-17.32;13.79;429.596.329.880.396;-164.865.712.099.572;565.530.393.025.776;-164.865.712.099.572;-0.310243939393939;Pregnant
3960;11;-17.34;13.8;yes;3;2;9;3.9;6/4/2015;2/2/2016;;9.83;0.0101718868821011;7/23/2015;243;3960-2015-07-23;-17.37;13.765;444.633.158.876.373;-160.114.260.141.389;496.874.107.043.804;-160.114.260.141.389;-0.316553571428571;Pregnant
4179;2;-17.13;15.69;yes;3;2;7.9;6.3;6/3/2015;2/1/2016;;9.83;0.00669925486107935;11/2/2015;243;4179-2015-11-02;-17.13;15.69;475.984.979.837.779;-137.620.891.764.603;152.873.876.938.734;-137.620.891.764.603;0.0970928571428572;Pregnant
4179;1;-17.09;15.77;yes;3;2;7.9;6.8;6/3/2015;2/1/2016;;9.83;0.00669925486107935;11/25/2015;243;4179-2015-11-25;-17.09;15.77;474.021.170.277.485;-131.781.713.535.795;175.672.718.689.224;-131.781.713.535.795;0.120683333333333;Pregnant
4179;12;-17.65;15.99;yes;3;2;7.9;1.6;6/3/2015;2/1/2016;;9.83;0.00669925486107935;6/29/2015;243;4179-2015-06-29;-17.8;15.87;450.668.542.867.223;-133.583.923.865.772;265.183.103.425.746;-133.583.923.865.772;-0.326583333333333;Pregnant
4179;13;-17.95;15.75;yes;3;2;7.9;1.3;6/3/2015;2/1/2016;;9.83;0.00669925486107935;6/24/2015;243;4179-2015-06-24;-17.95;15.75;427.536.855.520.605;-131.070.252.968.142;211.739.328.622.349;-131.070.252.968.142;-0.3275;Pregnant
4179;3;-17.15;15.6;yes;3;2;7.9;5.9;6/3/2015;2/1/2016;;9.83;0.00669925486107935;10/17/2015;243;4179-2015-10-17;-17.15;15.6;47.824.499.748.592;-142.171.187.121.089;136.850.967.352.239;-142.171.187.121.089;0.0799785714285715;Pregnant
4179;4;-17.24;15.52;yes;3;2;7.9;5.5;6/3/2015;2/1/2016;;9.83;0.00669925486107935;10/3/2015;243;4179-2015-10-03;-17.24;15.52;47.766.688.496.577;-142.057.526.575.098;122.382.475.237.341;-142.057.526.575.098;0.09725;Pregnant
4179;5;-17.42;15.61;yes;3;2;7.9;5.1;6/3/2015;2/1/2016;;9.83;0.00669925486107935;9/20/2015;243;4179-2015-09-20;-17.42;15.61;487.498.887.397.256;-143.826.204.627.855;109.193.297.885.278;-143.826.204.627.855;-0.10375;Pregnant
4179;7;-17.37;15.19;yes;3;2;7.9;4.1;6/3/2015;2/1/2016;;9.83;0.00669925486107935;8/22/2015;243;4179-2015-08-22;-17.37;15.19;474.262.358.115.661;-144.237.879.320.001;805.646.918.387.987;-144.237.879.320.001;-0.146188095238095;Pregnant
4179;8;-17.4;15.18;yes;3;2;7.9;3.6;6/3/2015;2/1/2016;;9.83;0.00669925486107935;8/10/2015;243;4179-2015-08-10;-17.4;15.18;473.960.252.501.138;-143.681.839.677.453;680.766.161.038.727;-143.681.839.677.453;-0.184934615384615;Pregnant
4179;9;-17.35;15.38;yes;3;2;7.9;3.1;6/3/2015;2/1/2016;;9.83;0.00669925486107935;7/29/2015;243;4179-2015-07-29;-17.35;15.38;455.592.027.963.419;-145.324.064.815.549;565.531.239.456.987;-145.324.064.815.549;-0.229539682539683;Pregnant
4179;10;-17.44;15.31;yes;3;2;7.9;2.6;6/3/2015;2/1/2016;;9.83;0.00669925486107935;7/18/2015;243;4179-2015-07-18;-17.44;15.31;470.637.086.693.741;-144.838.431.970.857;458.558.308.884.667;-144.838.431.970.857;-0.273747863247863;Pregnant
4179;11;-17.49;15.64;yes;3;2;7.9;2.2;6/3/2015;2/1/2016;;9.83;0.00669925486107935;7/10/2015;243;4179-2015-07-10;-17.49;15.64;47.725.220.214.349;-141.933.385.337.698;378.178.012.504.953;-141.933.385.337.698;-0.267371428571429;Pregnant
