"","SealID","Segment","d13C","d15N","Nubbin","WhiskerRow","WhiskerColumn","LengthRecovery","DistanceFromTip","DeploymentDate","RecoveryDate","X","Linf","k","DateWhenSegmentGrew","DeploymentDuration","SealDate","SevenDayAvg_d13C","SevenDayAvg_d15N","Lat","Lon","DaysSinceDeployment","Lon360","FiveDayDriftRate","ReprState"
"19","3190",5,-17.39,14.93,"yes",3,2,8.2,5.5,2014-06-01,2015-01-23,"",9.83,0.00761380898025595,2014-09-16,236,"3190-2014-09-16",-17.47,14.705,47.6891095114446,-146.919983318919,107.682159385764,-146.919983318919,0.0676666666666667,"Pregnant"
"20","3373",6,-17.32,12.62,"yes",3,2,8.5,5.1,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-09-04,241,"3373-2014-09-04",-17.325,12.625,42.92733061846,-169.324818719446,88.1359473471316,-169.324818719446,-0.143566666666667,"Pregnant"
"21","3373",10,-17.4,12.93,"yes",3,2,8.5,4.07,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-08-11,241,"3373-2014-08-11",-17.4,12.93,43.362372596207,-171.0861535305,64.3990542468235,-171.0861535305,-0.238529761904762,"Pregnant"
"22","3373",7,-17.33,12.63,"yes",3,2,8.5,5.05,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-09-02,241,"3373-2014-09-02",-17.29,12.695,42.7839446606242,-169.511020668674,86.8690130915272,-169.511020668674,-0.167233333333333,"Pregnant"
"23","3373",8,-17.25,12.76,"yes",3,2,8.5,4.81,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-08-27,241,"3373-2014-08-27",-17.25,12.76,43.4552653224753,-171.745751507416,80.9665592290654,-171.745751507416,-0.150166666666667,"Pregnant"
"24","3373",9,-17.35,12.8,"yes",3,2,8.5,4.44,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-08-19,241,"3373-2014-08-19",-17.35,12.8,42.3949645541929,-173.943779739777,72.3982612015362,-173.943779739777,-0.186970238095238,"Pregnant"
"30","3373",18,-17.73,13.42,"yes",3,2,8.5,1.11,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-06-22,241,"3373-2014-06-22",-17.91,13.66,38.4350955699901,-126.869515810719,14.4363967234117,-126.869515810719,-0.178666666666667,"Pregnant"
"32","3373",11,-17.54,12.96,"yes",3,2,8.5,3.7,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-08-03,241,"3373-2014-08-03",-17.54,12.96,44.6253011446437,-165.832899403494,56.8980276835351,-165.832899403494,-0.268208333333333,"Pregnant"
"33","3373",12,-17.31,13.27,"yes",3,2,8.5,3.33,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-07-27,241,"3373-2014-07-27",-17.335,13.29,45.9902986389301,-160.65566582949,49.836750673144,-160.65566582949,-0.153333333333333,"Pregnant"
"34","3373",13,-17.36,13.31,"yes",3,2,8.5,2.96,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-07-21,241,"3373-2014-07-21",-17.36,13.31,46.0990833271369,-154.440442707901,43.1665052935288,-154.440442707901,-0.27455,"Pregnant"
"35","3373",14,-17.28,13.32,"yes",3,2,8.5,2.59,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-07-14,241,"3373-2014-07-14",-17.4,13.26,46.3129025336789,-147.338019798354,36.8462463319909,-147.338019798354,-0.33,"Pregnant"
"37","3373",16,-17.53,13.29,"yes",3,2,8.5,2,2014-06-08,2015-02-04,"",9.83,0.00829983399139176,2014-07-05,241,"3373-2014-07-05",-17.525,13.215,44.3170777898037,-139.129302436567,27.4073462664777,-139.129302436567,-0.221,"Pregnant"
"39","3960",16,-17.7,14.18,"yes",3,2,9,1.7,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-06-22,243,"3960-2015-06-22",-17.7,14.285,42.5700127539108,-131.882621332657,18.6669408341,-131.882621332657,-0.213714285714286,"Pregnant"
"40","3960",4,-17.68,13.32,"yes",3,2,9,6.7,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-09-24,243,"3960-2015-09-24",-17.68,13.32,45.8215473371624,-165.761686226664,112.506749521643,-165.761686226664,-0.0648,"Pregnant"
"41","3960",5,-17.51,13.56,"yes",3,2,9,6.3,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-09-12,243,"3960-2015-09-12",-17.51,13.56,44.4307473729425,-166.375923906298,100.683489217325,-166.375923906298,-0.189234126984127,"Pregnant"
"42","3960",17,-17.7,14.39,"yes",3,2,9,1.5,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-06-20,243,"3960-2015-06-20",-17.7,14.39,41.5762031184076,-130.147152291522,16.2777545503058,-130.147152291522,-0.22,"Pregnant"
"43","3960",18,-17.99,14.82,"yes",3,2,9,0.9,2015-06-04,2016-02-02,"",9.83,0.0101718868821011,2015-06-13,243,"3960-2015-06-13",-17.99,14.82,37.7917748011622,-124.918088270976,9.43999283354315,-124.918088270976,-0.0185,"Pregnant"
